0   HLTriggerFirstPath, FIRED = 0
84   HLT_IsoMu16_eta2p1_MET30_v2, FIRED = 0
85   HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v2, FIRED = 0
86   HLT_IsoMu17_eta2p1_LooseIsoPFTau20_v5, FIRED = 0
87   HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v5, FIRED = 0
88   HLT_DoubleIsoMu17_eta2p1_v4, FIRED = 0
89   HLT_DoubleIsoMu17_eta2p1_noDzCut_v2, FIRED = 0
90   HLT_IsoMu18_v3, FIRED = 0
91   HLT_IsoMu19_eta2p1_LooseIsoPFTau20_v2, FIRED = 0
92   HLT_IsoMu19_eta2p1_LooseIsoPFTau20_SingleL1_v2, FIRED = 0
93   HLT_IsoMu19_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v2, FIRED = 0
94   HLT_IsoMu20_v4, FIRED = 0
95   HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v2, FIRED = 0
96   HLT_IsoMu21_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v2, FIRED = 0
97   HLT_IsoMu22_v3, FIRED = 0
98   HLT_IsoMu22_eta2p1_v2, FIRED = 0
99   HLT_IsoMu24_v2, FIRED = 0
100   HLT_IsoMu27_v5, FIRED = 0
101   HLT_IsoTkMu18_v4, FIRED = 0
102   HLT_IsoTkMu20_v6, FIRED = 0
103   HLT_IsoTkMu22_v4, FIRED = 0
104   HLT_IsoTkMu22_eta2p1_v3, FIRED = 0
105   HLT_IsoTkMu24_v3, FIRED = 0
106   HLT_IsoTkMu27_v6, FIRED = 0
107   HLT_JetE30_NoBPTX3BX_v3, FIRED = 0
108   HLT_JetE30_NoBPTX_v3, FIRED = 0
109   HLT_JetE50_NoBPTX3BX_v2, FIRED = 0
110   HLT_JetE70_NoBPTX3BX_v2, FIRED = 0
111   HLT_L1SingleMu18_v1, FIRED = 0
112   HLT_L2Mu10_v2, FIRED = 0
113   HLT_L1SingleMuOpen_v3, FIRED = 0
114   HLT_L1SingleMuOpen_DT_v3, FIRED = 0
115   HLT_L2DoubleMu23_NoVertex_v4, FIRED = 0
116   HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10_v4, FIRED = 0
117   HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10_v4, FIRED = 0
118   HLT_L2Mu10_NoVertex_NoBPTX3BX_v2, FIRED = 0
119   HLT_L2Mu10_NoVertex_NoBPTX_v3, FIRED = 0
120   HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_v2, FIRED = 0
121   HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v2, FIRED = 0
122   HLT_LooseIsoPFTau50_Trk30_eta2p1_v4, FIRED = 0
123   HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v2, FIRED = 0
124   HLT_LooseIsoPFTau50_Trk30_eta2p1_MET90_v2, FIRED = 0
125   HLT_LooseIsoPFTau50_Trk30_eta2p1_MET110_v2, FIRED = 0
126   HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v2, FIRED = 0
127   HLT_PFTau120_eta2p1_v2, FIRED = 0
128   HLT_VLooseIsoPFTau120_Trk50_eta2p1_v2, FIRED = 0
129   HLT_VLooseIsoPFTau140_Trk50_eta2p1_v2, FIRED = 0
130   HLT_Mu17_Mu8_v3, FIRED = 0
131   HLT_Mu17_Mu8_DZ_v4, FIRED = 0
132   HLT_Mu17_Mu8_SameSign_v3, FIRED = 0
133   HLT_Mu17_Mu8_SameSign_DZ_v3, FIRED = 0
134   HLT_Mu20_Mu10_v3, FIRED = 0
135   HLT_Mu20_Mu10_DZ_v3, FIRED = 0
136   HLT_Mu20_Mu10_SameSign_v2, FIRED = 0
137   HLT_Mu20_Mu10_SameSign_DZ_v3, FIRED = 0
138   HLT_Mu17_TkMu8_DZ_v3, FIRED = 0
139   HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v4, FIRED = 0
140   HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4, FIRED = 0
141   HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v3, FIRED = 0
142   HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3, FIRED = 0
143   HLT_Mu25_TkMu0_dEta18_Onia_v4, FIRED = 0
144   HLT_Mu27_TkMu8_v3, FIRED = 0
145   HLT_Mu30_TkMu11_v3, FIRED = 0
146   HLT_Mu30_eta2p1_PFJet150_PFJet50_v2, FIRED = 0
